route_id,from_city,to_city,segment_index,segment_from,segment_to,segment_from_lat,segment_from_lng,segment_to_lat,segment_to_lng,average_slope,max_elevation,road_type,historical_blockages_per_year,segment_length_km
aizawl-silchar,Aizawl,Silchar,0,Aizawl,Vairengte,23.7271,92.7176,24.2637,92.7915,32,1132,1,12,65
aizawl-silchar,Aizawl,Silchar,1,Vairengte,Lailapur,24.2637,92.7915,24.6120,92.7547,28,800,1,8,55
aizawl-silchar,Aizawl,Silchar,2,Lailapur,Silchar,24.6120,92.7547,24.8333,92.7789,18,350,0,3,60
aizawl-guwahati,Aizawl,Guwahati,0,Aizawl,Silchar,23.7271,92.7176,24.8333,92.7789,30,1132,1,10,180
aizawl-guwahati,Aizawl,Guwahati,1,Silchar,Haflong,24.8333,92.7789,25.1656,93.0170,35,680,1,15,80
aizawl-guwahati,Aizawl,Guwahati,2,Haflong,Lumding,25.1656,93.0170,25.7500,93.1667,22,450,1,7,60
aizawl-guwahati,Aizawl,Guwahati,3,Lumding,Guwahati,25.7500,93.1667,26.1445,91.7362,10,60,0,2,160
imphal-guwahati,Imphal,Guwahati,0,Imphal,Kohima,24.8170,93.9368,25.6751,94.1086,38,1500,1,18,140
imphal-guwahati,Imphal,Guwahati,1,Kohima,Dimapur,25.6751,94.1086,25.9065,93.7272,25,1261,1,10,70
imphal-guwahati,Imphal,Guwahati,2,Dimapur,Guwahati,25.9065,93.7272,26.1445,91.7362,8,60,0,2,240
shillong-guwahati,Shillong,Guwahati,0,Shillong,Nongpoh,25.5788,91.8933,25.9167,91.8833,22,1496,0,5,50
shillong-guwahati,Shillong,Guwahati,1,Nongpoh,Guwahati,25.9167,91.8833,26.1445,91.7362,15,600,0,2,50
agartala-silchar,Agartala,Silchar,0,Agartala,Karimganj,23.8315,91.2868,24.8649,92.3560,12,300,0,6,80
agartala-silchar,Agartala,Silchar,1,Karimganj,Badarpur,24.8649,92.3560,24.8686,92.5967,8,200,0,9,50
agartala-silchar,Agartala,Silchar,2,Badarpur,Silchar,24.8686,92.5967,24.8333,92.7789,10,350,0,4,40
imphal-silchar,Imphal,Silchar,0,Imphal,Bishnupur,24.8170,93.9368,24.6281,93.7650,25,900,1,14,30
imphal-silchar,Imphal,Silchar,1,Bishnupur,Churachandpur,24.6281,93.7650,24.3333,93.6833,35,1200,1,16,50
imphal-silchar,Imphal,Silchar,2,Churachandpur,Silchar,24.3333,93.6833,24.8333,92.7789,30,350,1,8,120
dimapur-kohima,Dimapur,Kohima,0,Dimapur,Chumukedima,25.9065,93.7272,25.8500,93.7500,15,400,0,4,20
dimapur-kohima,Dimapur,Kohima,1,Chumukedima,Zubza,25.8500,93.7500,25.7200,94.0000,35,1100,1,12,30
dimapur-kohima,Dimapur,Kohima,2,Zubza,Kohima,25.7200,94.0000,25.6751,94.1086,30,1444,1,9,24
kohima-imphal,Kohima,Imphal,0,Kohima,Mao,25.6751,94.1086,25.3500,94.1000,33,1500,1,15,50
kohima-imphal,Kohima,Imphal,1,Mao,Senapati,25.3500,94.1000,25.0700,94.0200,28,1200,1,11,40
kohima-imphal,Kohima,Imphal,2,Senapati,Imphal,25.0700,94.0200,24.8170,93.9368,20,786,1,6,45
guwahati-tezpur,Guwahati,Tezpur,0,Guwahati,Nagaon,26.1445,91.7362,26.3500,92.6840,5,65,0,3,120
