rainfall_24h,rainfall_forecast_24h,temperature,wind_speed,humidity,slope,road_type,month,historical_blockages,risk_level
120.0,120.0,21.1,6.1,90.2,28,1,6,0,2
12.0,13.2,23.0,15.2,72.7,15,0,9,2,0
37.0,38.7,23.6,5.9,78.8,8,1,6,18,2
17.3,18.1,21.9,5.6,79.5,35,1,6,3,1
36.6,28.8,22.7,6.7,79.9,15,1,6,5,1
21.4,4.4,24.3,28.5,95.1,30,1,7,1,1
9.9,8.8,16.9,5.7,74.2,25,1,3,15,1
6.2,3.4,27.0,8.8,64.1,22,1,3,6,0
5.1,8.6,18.1,4.9,77.7,12,0,1,4,0
31.1,40.1,14.8,24.3,80.1,22,1,10,13,2
8.6,9.5,23.0,5.1,66.8,12,0,6,5,0
39.7,36.0,21.9,11.4,74.6,15,0,6,9,1
1.6,0.0,15.5,8.7,73.7,12,1,2,5,0
28.7,42.0,18.0,5.7,83.5,25,1,8,10,1
17.3,23.7,17.0,3.5,67.2,35,1,5,15,1
70.6,71.1,20.7,46.0,86.4,35,1,8,9,2
63.2,90.8,26.9,6.6,90.3,8,0,6,8,2
23.1,13.5,26.6,23.9,81.4,32,1,8,10,1
2.3,6.1,16.6,12.0,60.2,25,1,3,7,0
12.0,21.0,21.5,66.2,93.9,38,1,8,14,2
73.0,52.4,22.4,26.4,80.9,25,1,6,20,2
88.3,106.4,18.2,11.3,99.1,32,1,7,13,2
15.8,27.1,23.9,17.9,71.8,18,0,10,8,0
23.6,16.3,18.4,18.3,85.3,30,1,7,3,1
0.3,11.0,21.8,14.9,60.2,15,1,3,4,0
0.1,2.4,21.0,7.3,70.4,12,0,2,3,0
43.4,65.0,28.6,22.0,75.8,18,1,8,0,1
0.2,0.0,16.6,3.0,82.5,22,1,2,7,0
30.1,33.5,20.1,22.7,97.3,28,1,7,2,1
4.4,6.4,6.6,12.3,75.4,22,1,1,8,0
131.8,89.3,22.8,11.9,83.3,10,0,6,9,2
62.6,46.6,25.0,70.0,92.9,18,0,8,12,2
9.8,13.2,22.9,3.1,60.1,32,1,11,4,0
18.5,15.6,23.3,59.1,87.0,25,1,6,9,1
27.4,37.4,24.5,6.7,82.4,25,1,6,6,1
7.2,9.1,18.7,6.6,89.9,28,1,6,1,0
4.7,0.0,16.4,35.2,82.7,10,1,8,8,0
6.7,10.2,13.9,3.3,74.5,10,0,10,11,0
2.3,0.1,20.7,35.0,62.7,8,0,11,18,0
50.7,57.3,25.5,5.8,89.5,15,1,8,15,2
15.1,19.7,14.8,6.5,90.7,15,1,8,10,1
35.4,52.8,10.1,29.0,93.3,32,1,10,0,2
150.0,120.0,21.7,38.2,87.1,18,0,9,1,2
150.0,120.0,20.2,15.8,93.0,10,1,9,9,2
40.9,26.3,30.2,31.6,97.4,25,1,8,8,1
5.6,7.4,28.0,9.3,95.0,10,0,6,5,0
38.2,39.9,22.3,14.1,95.9,38,1,6,2,2
19.6,30.7,13.7,23.1,87.3,15,0,7,2,1
0.7,0.0,11.6,24.7,84.7,12,0,4,0,0
8.6,3.7,16.3,13.2,86.5,22,1,6,10,2
20.5,28.5,21.1,34.5,82.1,12,0,8,7,1
36.7,22.6,25.4,45.6,80.1,22,1,6,8,1
31.5,23.3,21.8,12.0,82.8,10,1,7,9,1
25.9,21.4,28.1,15.2,92.3,10,0,9,5,0
35.1,37.0,21.0,8.0,82.8,12,0,7,2,1
3.7,0.9,20.3,22.1,59.0,32,1,3,3,0
103.9,116.0,19.0,8.7,81.9,22,1,8,3,2
23.5,6.4,33.1,6.0,75.1,15,0,8,1,0
63.2,77.3,27.8,16.5,73.8,35,1,6,14,2
6.6,4.3,20.9,20.4,79.0,10,1,3,3,0
8.4,0.0,20.2,23.0,74.4,18,0,4,6,0
29.1,38.7,25.3,47.7,70.3,25,1,8,2,1
17.1,25.2,31.1,45.4,84.1,15,0,8,11,1
80.1,107.9,20.9,33.7,80.2,10,0,9,11,2
52.3,34.0,19.9,48.0,73.8,22,1,8,17,2
36.9,26.6,29.1,51.0,92.7,28,1,7,2,1
34.0,48.4,25.1,7.2,88.4,25,1,8,5,1
6.8,11.6,25.3,12.7,88.6,18,1,9,6,0
8.8,12.8,21.4,13.1,100.0,8,0,7,2,0
2.7,7.2,18.0,11.0,61.9,8,1,4,3,0
3.5,0.0,18.6,16.9,88.9,22,1,5,6,0
1.0,0.0,17.1,5.2,66.3,28,1,4,6,0
38.2,31.2,17.5,5.4,88.8,12,0,8,3,1
84.4,75.0,17.7,11.2,92.9,35,1,8,0,1
1.0,5.7,16.9,19.0,45.1,18,0,1,4,0
36.8,25.2,25.9,34.0,87.8,18,0,6,4,1
13.2,17.7,23.4,8.4,75.0,25,1,8,10,1
1.5,4.9,19.5,11.2,84.8,28,1,5,2,0
27.3,17.5,19.1,6.6,76.5,18,0,7,5,0
38.8,48.0,22.4,9.4,89.4,8,0,6,9,1
29.7,18.9,20.7,17.3,83.0,15,1,8,13,1
38.4,31.8,21.7,8.7,93.0,25,1,6,15,2
51.5,69.1,15.4,9.5,94.5,8,0,9,4,1
14.4,14.7,18.2,5.8,60.4,32,1,12,0,0
2.7,9.5,12.6,2.7,79.1,30,1,5,4,0
16.7,0.0,18.5,30.0,85.7,30,1,10,20,1
27.6,28.9,27.8,14.8,81.0,10,0,9,4,0
0.8,5.2,6.4,13.4,62.9,12,1,5,12,0
48.1,59.4,27.7,9.2,68.6,12,0,10,12,1
17.4,21.4,15.8,16.2,45.9,28,1,2,2,0
9.2,5.8,19.0,23.0,68.9,35,1,5,17,1
48.3,26.4,15.0,10.4,77.9,30,1,9,7,1
19.8,32.3,19.9,36.3,98.6,25,1,8,4,1
54.6,69.0,25.3,26.5,92.1,28,1,9,9,2
10.6,12.7,13.0,15.6,64.4,32,1,4,7,0
150.0,112.0,24.6,32.2,100.0,10,1,8,8,2
53.7,33.2,23.6,6.3,96.6,8,0,6,5,1
10.3,10.0,20.2,2.2,53.7,8,0,2,7,0
26.1,31.9,13.2,8.2,93.2,12,0,8,10,1
108.5,106.1,21.5,23.3,93.1,18,0,6,19,2
6.1,0.0,26.7,22.0,80.1,12,1,10,12,0
62.6,39.4,27.0,16.8,91.9,10,0,9,10,1
10.8,15.9,14.1,5.7,72.2,8,0,5,7,0
58.8,75.1,21.9,7.0,83.4,15,1,6,2,2
53.6,28.4,13.8,6.7,85.8,8,0,8,2,1
60.4,39.9,23.1,27.1,81.6,8,1,8,1,1
86.0,117.1,19.9,6.5,88.9,32,1,8,6,2
47.7,31.5,19.4,42.0,84.1,12,1,7,5,1
47.6,45.6,25.0,70.0,88.3,12,0,9,1,1
85.5,106.8,14.5,13.3,80.8,38,1,7,0,2
34.7,26.1,19.7,21.2,99.8,30,1,7,2,1
